id	author_id	instance_id	centralLatitude	centralLongitude	areaCoordinates	DATE_FORMAT(createdAt,'_%Y_%m_%d_%H_%i_%s')	address
39	48	NULL	41.890401778257	12.505102157593		_2016_05_30_17_26_26	{"streetNumber":"37","streetName":"Via Tasso","postalCode":"00185","locality":"Roma","subLocality":null,"country":"IT"}
41	29	NULL	38.208448130622	-7.805882692337		_2016_05_31_10_48_38	{"streetNumber":"26","streetName":"N258","postalCode":"7960","locality":"Vidigueira","subLocality":null,"country":"PT"}
42	85	iremember	41.900000000000	12.500000000000		_2016_05_31_15_44_39	{"streetNumber":"5","streetName":"Via Daniele Manin","postalCode":"00185","locality":"Roma","subLocality":null,"country":"IT"}
46	86	iremember	40.632489000000	-3.160170000000		_2016_06_13_09_09_11	{"streetNumber":"3","streetName":"Calle Zaragoza","postalCode":"19005","locality":"Guadalajara","subLocality":null,"country":"ES"}
47	86	iremember	40.407051900000	-3.691350000000		_2016_06_13_09_51_35	{"streetNumber":null,"streetName":"Plaza Emperador Carlos V","postalCode":"28045","locality":"Madrid","subLocality":null,"country":"ES"}
48	86	iremember	42.344598600000	-3.193030200000		_2016_06_13_10_23_26	{"streetNumber":"20","streetName":"Calle la Iglesia","postalCode":"09268","locality":"Villagalijo","subLocality":null,"country":"ES"}
49	86	iremember	42.344598600000	-3.193030200000		_2016_06_13_10_25_45	{"streetNumber":"20","streetName":"Calle la Iglesia","postalCode":"09268","locality":"Villagalijo","subLocality":null,"country":"ES"}
50	86	iremember	43.182839600000	-3.987842700000		_2016_06_13_10_51_31	{"streetNumber":null,"streetName":"Unnamed Road","postalCode":"39451","locality":null,"subLocality":null,"country":"ES"}
51	86	iremember	40.140272700000	-3.422168700000		_2016_06_13_11_08_45	{"streetNumber":"1","streetName":"Calle Grande","postalCode":"28370","locality":"Chinch\\u00f3n","subLocality":null,"country":"ES"}
52	86	iremember	40.168038600000	-3.369124100000		_2016_06_13_11_33_57	{"streetNumber":null,"streetName":"M-317","postalCode":"28391","locality":"Valdelaguna","subLocality":null,"country":"ES"}
53	86	iremember	38.982993000000	-3.967437100000		_2016_06_14_08_06_01	{"streetNumber":null,"streetName":"Unnamed Road","postalCode":"13005","locality":"Ciudad Real","subLocality":null,"country":"ES"}
55	61	iremember	45.258410100000	26.071919500000		_2016_06_19_14_51_19	{"streetNumber":null,"streetName":"Strada Neagoe Basarab","postalCode":"107194","locality":"Drajna de Sus","subLocality":null,"country":"RO"}
57	48	NULL	41.889403100000	12.534499100000		_2016_06_24_12_27_17	{"streetNumber":"62","streetName":"Via Alberto da Giussano","postalCode":"00176","locality":"Roma","subLocality":null,"country":"IT"}
58	97	iremember	41.447744719537	12.618634700775		_2016_06_27_08_58_28	{"streetNumber":"20A","streetName":"Via Fanciulla di Anzio","postalCode":"00042","locality":"Anzio","subLocality":null,"country":"IT"}
59	97	iremember	41.446876188142	12.619814872742		_2016_06_27_12_19_36	{"streetNumber":"20A","streetName":"Via Fanciulla di Anzio","postalCode":"00042","locality":"Anzio","subLocality":null,"country":"IT"}
62	62	iremember	44.950000000000	26.016700000000		_2016_07_05_17_47_48	{"streetNumber":"28","streetName":"Strada Dimitrie Bolintineanu","postalCode":null,"locality":"Ploie\\u0219ti","subLocality":null,"country":"RO"}
63	60	iremember	45.222731000000	26.058878300000		_2016_07_05_18_43_11	{"streetNumber":null,"streetName":"Strada Muncii","postalCode":"107190","locality":"Drajna de Jos","subLocality":null,"country":"RO"}
64	62	iremember	44.950000000000	26.016700000000		_2016_07_05_19_43_56	{"streetNumber":"28","streetName":"Strada Dimitrie Bolintineanu","postalCode":null,"locality":"Ploie\\u0219ti","subLocality":null,"country":"RO"}
70	102	iremember	45.257367853706	26.067423820496		_2016_07_07_16_12_10	{"streetNumber":null,"streetName":"Strada T\\u00e2rgului","postalCode":"107194","locality":"Drajna de Sus","subLocality":null,"country":"RO"}
71	103	iremember	45.243590826460	26.078796386719		_2016_07_08_12_37_00	{"streetNumber":null,"streetName":"Strada Cojocari","postalCode":"107194","locality":"Drajna de Sus","subLocality":null,"country":"RO"}
72	23	iremember	45.262231312887	26.066061258316		_2016_07_09_09_20_00	{"streetNumber":null,"streetName":"Strada Mircea cel B\\u0103tr\\u00e2n","postalCode":"107190","locality":"Drajna de Sus","subLocality":null,"country":"RO"}
73	60	iremember	45.222731000000	26.058878300000		_2016_07_10_17_36_24	{"streetNumber":null,"streetName":"Strada Muncii","postalCode":"107190","locality":"Drajna de Jos","subLocality":null,"country":"RO"}
74	97	iremember	41.446779683936	12.628489136696		_2016_07_11_10_38_55	{"streetNumber":"9A","streetName":"Piazza Pia","postalCode":"00042","locality":"Anzio","subLocality":null,"country":"IT"}
75	97	iremember	41.453486384573	12.619771957398		_2016_07_11_11_19_52	{"streetNumber":"16","streetName":"Via Ardeatina","postalCode":"00042","locality":"Anzio","subLocality":null,"country":"IT"}
78	59	iremember	45.258085315649	26.066629886627		_2016_07_13_06_16_13	{"streetNumber":null,"streetName":"Strada T\\u00e2rgului","postalCode":"107194","locality":"Drajna de Sus","subLocality":null,"country":"RO"}
79	105	NULL	54.995133354731	-7.327237129211		_2016_07_13_21_52_53	{"streetNumber":null,"streetName":"Lecky Road","postalCode":"BT48","locality":"Londonderry","subLocality":null,"country":"GB"}
80	22	NULL	40.634798844042	17.924194335938		_2016_07_14_07_34_47	{"streetNumber":"8","streetName":"Corte T\\u00e0cito","postalCode":"72100","locality":"Brindisi","subLocality":null,"country":"IT"}
81	97	NULL	40.423624575375	-3.717327117920		_2016_07_14_09_45_17	{"streetNumber":"1","streetName":"Calle Profesor Mart\\u00edn Almagro Basch","postalCode":"28008","locality":"Madrid","subLocality":null,"country":"ES"}
82	12	NULL	48.854140400000	2.332482500000		_2016_07_14_10_08_25	{"streetNumber":"172","streetName":"Boulevard Saint-Germain","postalCode":"75006","locality":"Paris","subLocality":null,"country":"FR"}
83	21	iremember	43.762168155558	25.507507324219		_2016_07_19_10_10_07	{"streetNumber":null,"streetName":"Drumul Prospetimii","postalCode":"147030","locality":"Bragadiru","subLocality":null,"country":"RO"}
84	28	iremember	40.185194600000	44.487212300000		_2016_07_20_10_40_11	{"streetNumber":null,"streetName":"Unnamed Road","postalCode":null,"locality":"Yerevan","subLocality":"Kentron","country":"AM"}
85	105	iremember	54.995932666502	-7.326598763466	54.996373478202,-7.3257297277451;54.996459639203,-7.327162027359;54.995530321502,-7.3278164863586;54.995367227102,-7.3256868124008	_2016_07_21_15_48_22	{"streetNumber":"27","streetName":"Rossville Street","postalCode":"BT48 9DX","locality":"Londonderry","subLocality":null,"country":"GB"}
